epoch,train_loss,val_f1,val_accuracy,val_auc
1,0.28749,0.55801,0.60494,0.87718
2,0.1139,0.74182,0.82469,0.97509
3,0.06185,0.87719,0.93086,0.9913
4,0.02921,0.86207,0.92099,0.99486
5,0.02631,0.91743,0.95556,0.99492
6,0.0222,0.96154,0.98025,0.99608
7,0.01884,0.97561,0.98765,0.9956
8,0.01881,0.97537,0.98765,0.99495
9,0.01006,0.97537,0.98765,0.99541
10,0.01311,0.98039,0.99012,0.99505
11,0.01051,0.9703,0.98519,0.9924
12,0.01082,0.98039,0.99012,0.99563
13,0.00309,0.98039,0.99012,0.99537
14,0.00943,0.9703,0.98519,0.98971
15,0.00714,0.9703,0.98519,0.99566
16,0.00521,0.97537,0.98765,0.99573
17,0.00829,0.96517,0.98272,0.9957
18,0.00432,0.9703,0.98519,0.9944
19,0.00706,0.97537,0.98765,0.9946
20,0.00451,0.9703,0.98519,0.99266
