method,distribution,round,n_clients,n_selected,model_size_mb,round_time_sec,cumulative_comm_mb,mu,fold
fedprox,iid,5,6,6,6.08,270.18,364.78,0.01,1.0
fedprox,iid,6,6,6,6.08,267.16,437.73,0.01,1.0
fedprox,iid,7,6,6,6.08,269.73,510.69,0.01,1.0
fedprox,iid,8,6,6,6.08,267.55,583.64,0.01,1.0
fedprox,iid,9,6,6,6.08,268.06,656.6,0.01,1.0
fedprox,iid,10,6,6,6.08,269.39,729.55,0.01,1.0
fedprox,iid,11,6,6,6.08,266.78,802.51,0.01,1.0
fedprox,iid,12,6,6,6.08,270.15,875.47,0.01,1.0
fedprox,iid,13,6,6,6.08,267.94,948.42,0.01,1.0
fedprox,iid,14,6,6,6.08,386.99,1021.38,0.01,1.0
fedprox,iid,15,6,6,6.08,268.07,1094.33,0.01,1.0
fedprox,iid,16,6,6,6.08,264.82,1167.29,0.01,1.0
fedprox,iid,17,6,6,6.08,264.79,1240.24,0.01,1.0
fedprox,iid,18,6,6,6.08,268.84,1313.2,0.01,1.0
fedprox,iid,19,6,6,6.08,269.83,1386.15,0.01,1.0
fedprox,iid,20,6,6,6.08,265.75,1459.11,0.01,1.0
fedavg,dirichlet_a0.1,1,4,4,6.08,186.79,48.64,,1.0
fedavg,dirichlet_a0.1,2,4,4,6.08,184.05,97.27,,1.0
fedavg,dirichlet_a0.1,3,4,4,6.08,183.02,145.91,,1.0
fedavg,dirichlet_a0.1,4,4,4,6.08,184.73,194.55,,1.0
fedavg,dirichlet_a0.1,5,4,4,6.08,184.97,243.18,,1.0
fedavg,dirichlet_a0.1,6,4,4,6.08,183.85,291.82,,1.0
fedavg,dirichlet_a0.1,7,4,4,6.08,181.63,340.46,,1.0
fedavg,dirichlet_a0.1,8,4,4,6.08,181.96,389.1,,1.0
fedavg,dirichlet_a0.1,9,4,4,6.08,182.8,437.73,,1.0
fedavg,dirichlet_a0.1,10,4,4,6.08,186.4,486.37,,1.0
fedavg,dirichlet_a0.1,11,4,4,6.08,186.23,535.01,,1.0
fedavg,dirichlet_a0.1,12,4,4,6.08,182.21,583.64,,1.0
fedavg,dirichlet_a0.1,13,4,4,6.08,182.41,632.28,,1.0
fedavg,dirichlet_a0.1,14,4,4,6.08,182.56,680.92,,1.0
fedavg,dirichlet_a0.1,15,4,4,6.08,184.18,729.55,,1.0
fedavg,dirichlet_a0.1,16,4,4,6.08,186.3,778.19,,1.0
fedavg,dirichlet_a0.1,17,4,4,6.08,185.04,826.83,,1.0
fedavg,dirichlet_a0.1,18,4,4,6.08,187.1,875.47,,1.0
fedavg,dirichlet_a0.1,19,4,4,6.08,182.78,924.1,,1.0
fedavg,dirichlet_a0.1,20,4,4,6.08,182.45,972.74,,1.0
