backbone,TP,TN,FP,FN,sensitivity,specificity,error_rate
EfficientNet-B0,454,1542,25,5,0.9891067538126361,0.9840459476707084,0.014807502467917079
MobileNetV3,451,1547,20,8,0.9825708061002179,0.9872367581365666,0.013820335636722606
ResNet50,451,1550,17,8,0.9825708061002179,0.9891512444160817,0.012339585389930898
