epoch,train_loss,val_f1,val_accuracy,val_auc
1,0.29988,0.85581,0.92346,0.99748
2,0.07791,0.96335,0.98272,0.9991
3,0.04359,0.95337,0.97778,0.99941
4,0.0477,0.94898,0.97531,0.99935
5,0.04954,0.98396,0.99259,0.99952
6,0.02422,0.96842,0.98519,0.99907
7,0.02411,0.98396,0.99259,0.99955
8,0.02058,0.96842,0.98519,0.99966
9,0.01114,0.96842,0.98519,0.99948
10,0.01852,0.97872,0.99012,0.99952
11,0.01066,0.97872,0.99012,0.99941
12,0.01643,0.96842,0.98519,0.99907
13,0.01464,0.98396,0.99259,0.99952
14,0.01161,0.98396,0.99259,0.99952
15,0.01344,0.98378,0.99259,0.99928
