epoch,train_loss,val_f1,val_accuracy,val_auc
1,0.30455,0.88325,0.94293,0.99494
2,0.08287,0.90155,0.95285,0.99589
3,0.06281,0.87437,0.93797,0.99578
4,0.04059,0.95556,0.98015,0.99429
5,0.03795,0.94565,0.97519,0.99476
6,0.03354,0.91579,0.9603,0.9944
7,0.01512,0.96089,0.98263,0.99458
8,0.01491,0.97207,0.98759,0.99473
9,0.01413,0.95604,0.98015,0.9942
10,0.0218,0.95082,0.97767,0.9938
11,0.01595,0.93048,0.96774,0.99345
12,0.01092,0.94505,0.97519,0.99349
13,0.00888,0.96089,0.98263,0.99383
14,0.00678,0.97207,0.98759,0.99396
15,0.0066,0.96133,0.98263,0.99373
16,0.00431,0.96667,0.98511,0.99387
17,0.00834,0.95604,0.98015,0.99398
18,0.00604,0.96667,0.98511,0.994
