epoch,train_loss,val_f1,val_accuracy,val_auc
1,0.32991,0.48505,0.62103,0.79955
2,0.11973,0.78351,0.89731,0.96718
3,0.06158,0.89385,0.95355,0.98601
4,0.0554,0.91954,0.96577,0.99049
5,0.05125,0.92857,0.97066,0.99135
6,0.03703,0.93413,0.97311,0.98978
7,0.0254,0.95294,0.98044,0.99224
8,0.01358,0.93642,0.97311,0.99172
9,0.01694,0.94118,0.97555,0.99105
10,0.02707,0.94737,0.978,0.99142
11,0.01821,0.93023,0.97066,0.99362
12,0.01393,0.94186,0.97555,0.99351
13,0.01058,0.94737,0.978,0.99299
14,0.01038,0.94737,0.978,0.99373
15,0.00519,0.94737,0.978,0.99293
16,0.00808,0.95294,0.98044,0.99213
17,0.00412,0.95294,0.98044,0.99256
