epoch,train_loss,val_f1,val_accuracy,val_auc
1,0.23833,0.92308,0.9603,0.99213
2,0.08303,0.96,0.98015,0.99425
3,0.04211,0.9505,0.97519,0.99555
4,0.03402,0.96482,0.98263,0.99538
5,0.03469,0.9505,0.97519,0.99588
6,0.02227,0.97959,0.99007,0.99432
7,0.01122,0.96,0.98015,0.99644
8,0.02793,0.97959,0.99007,0.99488
9,0.01993,0.96447,0.98263,0.99711
10,0.00925,0.96939,0.98511,0.99571
11,0.02075,0.96939,0.98511,0.99625
12,0.00818,0.96939,0.98511,0.99664
13,0.01054,0.9697,0.98511,0.99651
14,0.00528,0.9697,0.98511,0.99545
15,0.01088,0.9697,0.98511,0.99555
16,0.00607,0.9697,0.98511,0.99422
