epoch,train_loss,val_f1,val_accuracy,val_auc
1,0.12065,0.9875,0.9951,0.99989
2,0.05847,0.90196,0.96324,0.9851
3,0.0482,0.95758,0.98284,0.99947
4,0.03032,0.9816,0.99265,0.99985
5,0.03165,0.99379,0.99755,1.0
6,0.02408,0.99379,0.99755,1.0
7,0.02476,1.0,1.0,1.0
8,0.01022,1.0,1.0,1.0
9,0.0156,0.97561,0.9902,1.0
10,0.01349,0.98765,0.9951,1.0
11,0.01913,0.9697,0.98775,1.0
12,0.01386,0.97561,0.9902,0.99989
13,0.01349,0.94675,0.97794,0.99954
14,0.01314,0.98765,0.9951,1.0
15,0.00715,0.99379,0.99755,0.99996
16,0.00448,0.98765,0.9951,1.0
17,0.0064,0.99379,0.99755,1.0
