epoch,train_loss,val_f1,val_accuracy,val_auc
1,0.11782,0.89231,0.94789,0.99398
2,0.04352,0.94054,0.9727,0.99313
3,0.03204,0.96089,0.98263,0.99385
4,0.02269,0.96133,0.98263,0.99338
5,0.02405,0.95604,0.98015,0.99189
6,0.02591,0.96667,0.98511,0.99302
7,0.02581,0.95604,0.98015,0.99189
8,0.0137,0.94565,0.97519,0.99131
9,0.03983,0.95604,0.98015,0.99127
10,0.00984,0.96667,0.98511,0.99242
11,0.0086,0.95082,0.97767,0.99094
12,0.0098,0.96667,0.98511,0.99294
13,0.00213,0.96133,0.98263,0.99265
14,0.00278,0.97207,0.98759,0.9924
15,0.00104,0.96667,0.98511,0.9928
16,0.00197,0.97207,0.98759,0.99262
17,0.00294,0.96667,0.98511,0.99162
18,0.00292,0.97207,0.98759,0.99276
19,0.00105,0.97207,0.98759,0.99254
20,0.00082,0.97207,0.98759,0.99211
21,0.00069,0.97207,0.98759,0.9922
22,0.00136,0.97207,0.98759,0.99214
23,0.00124,0.97207,0.98759,0.99222
24,0.00093,0.97207,0.98759,0.99202
