epoch,train_loss,val_f1,val_accuracy,val_auc
1,0.27968,0.88073,0.93548,0.99136
2,0.08606,0.94581,0.9727,0.99382
3,0.05633,0.96,0.98015,0.99438
4,0.04362,0.9697,0.98511,0.99502
5,0.02232,0.9697,0.98511,0.99525
6,0.025,0.9697,0.98511,0.99545
7,0.01982,0.97959,0.99007,0.99399
8,0.0155,0.97959,0.99007,0.99153
9,0.01311,0.97436,0.98759,0.98814
10,0.00988,0.97959,0.99007,0.99143
11,0.01899,0.98462,0.99256,0.99149
12,0.00664,0.98462,0.99256,0.99016
13,0.0053,0.97959,0.99007,0.99119
14,0.00655,0.98462,0.99256,0.98771
15,0.0093,0.97959,0.99007,0.99269
16,0.0074,0.97959,0.99007,0.99249
17,0.00916,0.98462,0.99256,0.99103
18,0.00466,0.98462,0.99256,0.9902
19,0.00391,0.98462,0.99256,0.99083
20,0.00215,0.97959,0.99007,0.99119
21,0.00616,0.97959,0.99007,0.99249
