epoch,train_loss,val_f1,val_accuracy,val_auc
1,0.27185,0.62642,0.75434,0.91186
2,0.09268,0.89362,0.95037,0.99321
3,0.05766,0.96512,0.98511,0.99861
4,0.05784,0.94972,0.97767,0.99912
5,0.02343,0.97143,0.98759,0.99901
6,0.02436,0.97701,0.99007,0.99886
7,0.02223,0.96591,0.98511,0.9982
8,0.02807,0.97701,0.99007,0.99916
9,0.02466,0.98837,0.99504,0.99923
10,0.01062,0.97701,0.99007,0.99883
11,0.01005,0.98837,0.99504,0.99916
12,0.01159,0.97701,0.99007,0.99806
13,0.02036,0.97701,0.99007,0.99751
14,0.01199,0.98837,0.99504,0.99696
15,0.005,0.98837,0.99504,0.99655
16,0.00717,0.98266,0.99256,0.99633
17,0.00579,0.97701,0.99007,0.9974
18,0.01309,0.98266,0.99256,0.99747
19,0.00619,0.98266,0.99256,0.99721
