model,student,fold,temperature,accuracy,precision,recall,f1,macro_f1,roc_auc,pr_auc,specificity,sensitivity
teacher,efficientnet_b0,1,,0.99005,0.97959,0.97959,0.97959,0.98651,0.99604,0.99262,0.99342,0.97959
baseline,mobilenet_v3,1,4.0,0.99005,0.97959,0.97959,0.97959,0.98651,0.98956,0.98834,0.99342,0.97959
distilled_T2.0,mobilenet_v3,1,2.0,0.99005,0.97959,0.97959,0.97959,0.98651,0.99418,0.99004,0.99342,0.97959
distilled_T4.0,mobilenet_v3,1,4.0,0.99254,0.98969,0.97959,0.98462,0.98984,0.99409,0.98536,0.99671,0.97959
distilled_T6.0,mobilenet_v3,1,6.0,0.99005,0.97959,0.97959,0.97959,0.98651,0.99356,0.98582,0.99342,0.97959
