epoch,train_loss,val_f1,val_accuracy,val_auc
1,0.12277,0.97959,0.99005,0.9949
2,0.02868,0.97436,0.98756,0.99755
3,0.04546,0.96447,0.98259,0.9958
4,0.03234,0.97938,0.99005,0.98466
5,0.02526,0.97938,0.99005,0.99486
6,0.0131,0.97436,0.98756,0.99641
7,0.01854,0.97938,0.99005,0.99413
8,0.00871,0.97462,0.98756,0.99483
9,0.01756,0.97409,0.98756,0.99429
10,0.01185,0.98969,0.99502,0.99023
11,0.0102,0.97436,0.98756,0.99668
12,0.00346,0.97938,0.99005,0.99238
13,0.0035,0.97409,0.98756,0.9947
14,0.00202,0.97409,0.98756,0.99439
15,0.00067,0.97938,0.99005,0.99587
16,0.00103,0.96875,0.98507,0.99396
17,0.00087,0.96875,0.98507,0.99463
18,0.00171,0.97938,0.99005,0.99792
19,0.00328,0.97409,0.98756,0.99564
20,0.00035,0.97938,0.99005,0.99466
