epoch,train_loss,val_f1,val_accuracy,val_auc
1,0.3391,0.64069,0.79657,0.8979
2,0.09042,0.8655,0.94363,0.98181
3,0.06286,0.93814,0.97059,0.99205
4,0.03769,0.97297,0.98775,0.98853
5,0.03116,0.97297,0.98775,0.98467
6,0.03276,0.97826,0.9902,0.98618
7,0.0112,0.97826,0.9902,0.98324
8,0.01685,0.97849,0.9902,0.98628
9,0.01578,0.97826,0.9902,0.98324
10,0.02073,0.97268,0.98775,0.98225
11,0.01902,0.97826,0.9902,0.98624
12,0.01157,0.97826,0.9902,0.98348
13,0.01228,0.97826,0.9902,0.98112
14,0.01683,0.97268,0.98775,0.98078
15,0.00892,0.97826,0.9902,0.98129
16,0.00705,0.97826,0.9902,0.98164
17,0.01012,0.97826,0.9902,0.98034
18,0.00982,0.97268,0.98775,0.98024
