fpr,tpr,threshold
0.0,0.0,inf
0.0,0.17,1.0
0.0,0.26,0.9999998807907104
0.0,0.34,0.9999994039535522
0.0,0.37,0.999998927116394
0.0,0.4,0.9999988079071045
0.0,0.42,0.9999985694885254
0.0,0.47,0.9999964237213135
0.0,0.49,0.9999961853027344
0.0,0.53,0.9999901056289673
0.003257328990228013,0.53,0.9999897480010986
0.003257328990228013,0.96,0.8364318013191223
0.006514657980456026,0.96,0.7008256912231445
0.006514657980456026,0.98,0.5046544671058655
0.009771986970684038,0.98,0.4396730661392212
0.009771986970684038,1.0,0.09268569201231003
1.0,1.0,1.6149547477084525e-08
