recall,precision
1.0,0.2818181818181818
1.0,0.2826747720364742
1.0,0.28353658536585363
1.0,0.28440366972477066
1.0,0.2852760736196319
1.0,0.28615384615384615
1.0,0.28703703703703703
1.0,0.28792569659442724
1.0,0.2888198757763975
1.0,0.2897196261682243
1.0,0.290625
1.0,0.29153605015673983
1.0,0.29245283018867924
1.0,0.29337539432176657
1.0,0.29430379746835444
1.0,0.29523809523809524
1.0,0.2961783439490446
1.0,0.2971246006389776
1.0,0.2980769230769231
1.0,0.2990353697749196
1.0,0.3
1.0,0.30097087378640774
1.0,0.30194805194805197
1.0,0.30293159609120524
1.0,0.30392156862745096
1.0,0.30491803278688523
1.0,0.3059210526315789
1.0,0.3069306930693069
1.0,0.3079470198675497
1.0,0.3089700996677741
1.0,0.31
1.0,0.3110367892976589
1.0,0.31208053691275167
1.0,0.31313131313131315
1.0,0.3141891891891892
1.0,0.3152542372881356
1.0,0.3163265306122449
1.0,0.3174061433447099
1.0,0.3184931506849315
1.0,0.31958762886597936
1.0,0.32068965517241377
1.0,0.3217993079584775
1.0,0.3229166666666667
1.0,0.3240418118466899
1.0,0.32517482517482516
1.0,0.3263157894736842
1.0,0.3274647887323944
1.0,0.3286219081272085
1.0,0.32978723404255317
1.0,0.3309608540925267
1.0,0.33214285714285713
1.0,0.3333333333333333
1.0,0.3345323741007194
1.0,0.33574007220216606
1.0,0.33695652173913043
1.0,0.3381818181818182
1.0,0.33941605839416056
1.0,0.34065934065934067
1.0,0.34191176470588236
1.0,0.34317343173431736
1.0,0.34444444444444444
1.0,0.34572490706319703
1.0,0.34701492537313433
1.0,0.34831460674157305
1.0,0.34962406015037595
1.0,0.35094339622641507
1.0,0.3522727272727273
1.0,0.35361216730038025
1.0,0.3549618320610687
1.0,0.3563218390804598
1.0,0.3576923076923077
1.0,0.3590733590733591
1.0,0.36046511627906974
1.0,0.36186770428015563
1.0,0.36328125
1.0,0.36470588235294116
1.0,0.3661417322834646
1.0,0.3675889328063241
1.0,0.36904761904761907
1.0,0.3705179282868526
1.0,0.372
1.0,0.37349397590361444
1.0,0.375
1.0,0.3765182186234818
1.0,0.3780487804878049
1.0,0.3795918367346939
1.0,0.38114754098360654
1.0,0.38271604938271603
1.0,0.384297520661157
1.0,0.38589211618257263
1.0,0.3875
1.0,0.3891213389121339
1.0,0.3907563025210084
1.0,0.3924050632911392
1.0,0.3940677966101695
1.0,0.39574468085106385
1.0,0.3974358974358974
1.0,0.39914163090128757
1.0,0.40086206896551724
1.0,0.4025974025974026
1.0,0.4043478260869565
1.0,0.40611353711790393
1.0,0.40789473684210525
1.0,0.40969162995594716
1.0,0.41150442477876104
1.0,0.41333333333333333
1.0,0.41517857142857145
1.0,0.4170403587443946
1.0,0.4189189189189189
1.0,0.42081447963800905
1.0,0.42272727272727273
1.0,0.4246575342465753
1.0,0.42660550458715596
1.0,0.42857142857142855
1.0,0.4305555555555556
1.0,0.4325581395348837
1.0,0.43457943925233644
1.0,0.43661971830985913
1.0,0.4386792452830189
1.0,0.44075829383886256
1.0,0.44285714285714284
1.0,0.4449760765550239
1.0,0.44711538461538464
1.0,0.4492753623188406
1.0,0.45145631067961167
1.0,0.45365853658536587
1.0,0.45588235294117646
1.0,0.458128078817734
1.0,0.4603960396039604
1.0,0.4626865671641791
1.0,0.465
1.0,0.46733668341708545
1.0,0.4696969696969697
1.0,0.4720812182741117
1.0,0.4744897959183674
1.0,0.47692307692307695
1.0,0.4793814432989691
1.0,0.48186528497409326
1.0,0.484375
1.0,0.4869109947643979
1.0,0.48947368421052634
1.0,0.49206349206349204
1.0,0.4946808510638298
1.0,0.49732620320855614
1.0,0.5
1.0,0.5027027027027027
1.0,0.5054347826086957
1.0,0.5081967213114754
1.0,0.510989010989011
1.0,0.5138121546961326
1.0,0.5166666666666667
1.0,0.5195530726256983
1.0,0.5224719101123596
1.0,0.5254237288135594
1.0,0.5284090909090909
1.0,0.5314285714285715
1.0,0.5344827586206896
1.0,0.5375722543352601
1.0,0.5406976744186046
1.0,0.543859649122807
1.0,0.5470588235294118
1.0,0.5502958579881657
1.0,0.5535714285714286
1.0,0.5568862275449101
1.0,0.5602409638554217
1.0,0.5636363636363636
1.0,0.5670731707317073
1.0,0.5705521472392638
1.0,0.5740740740740741
1.0,0.577639751552795
1.0,0.58125
1.0,0.5849056603773585
1.0,0.5886075949367089
1.0,0.5923566878980892
1.0,0.5961538461538461
1.0,0.6
1.0,0.6038961038961039
1.0,0.6078431372549019
1.0,0.6118421052631579
1.0,0.6158940397350994
1.0,0.62
