fpr,tpr,threshold
0.0,0.0,inf
0.0,0.01,0.9999750852584839
0.0,0.64,0.9955633878707886
0.003257328990228013,0.64,0.9953312277793884
0.003257328990228013,0.82,0.985276997089386
0.006514657980456026,0.82,0.9829170107841492
0.006514657980456026,0.88,0.9680661559104919
0.009771986970684038,0.88,0.9676811099052429
0.009771986970684038,0.92,0.912300169467926
0.013029315960912053,0.92,0.9116753935813904
0.013029315960912053,0.99,0.54644775390625
0.016286644951140065,0.99,0.26211515069007874
0.016286644951140065,1.0,0.2085762470960617
1.0,1.0,0.00010865542571991682
