fpr,tpr,threshold
0.0,0.0,inf
0.0,0.07526881720430108,1.0
0.0,0.08602150537634409,0.9999998807907104
0.0,0.12903225806451613,0.9999997615814209
0.0,0.17204301075268819,0.9999995231628418
0.0,0.1935483870967742,0.9999991655349731
0.0,0.23655913978494625,0.9999985694885254
0.0,0.3225806451612903,0.9999961853027344
0.0,0.34408602150537637,0.9999958276748657
0.0,0.946236559139785,0.973594069480896
0.0031746031746031746,0.946236559139785,0.9489770531654358
0.0031746031746031746,0.989247311827957,0.625907301902771
0.031746031746031744,0.989247311827957,0.026946015655994415
0.031746031746031744,1.0,0.024114692583680153
1.0,1.0,1.7362410744681256e-06
