fpr,tpr,threshold
0.0,0.0,inf
0.0,0.024390243902439025,1.0
0.0030581039755351682,0.06097560975609756,0.9999998807907104
0.0030581039755351682,0.07317073170731707,0.9999996423721313
0.0061162079510703364,0.07317073170731707,0.9999994039535522
0.0061162079510703364,0.0975609756097561,0.9999991655349731
0.0061162079510703364,0.5853658536585366,0.999894380569458
0.0061162079510703364,0.6097560975609756,0.9998903274536133
0.0061162079510703364,0.926829268292683,0.9882955551147461
0.009174311926605505,0.926829268292683,0.9558497071266174
0.009174311926605505,0.9878048780487805,0.827897310256958
0.024464831804281346,0.9878048780487805,0.558141827583313
0.024464831804281346,1.0,0.5348678231239319
1.0,1.0,7.782581815263256e-05
