fpr,tpr,threshold
0.0,0.0,inf
0.0,0.021505376344086023,0.9999998807907104
0.0,0.10752688172043011,0.9999959468841553
0.0,0.13978494623655913,0.9999958276748657
0.0,0.967741935483871,0.9164199829101562
0.006349206349206349,0.967741935483871,0.8006410002708435
0.006349206349206349,0.978494623655914,0.7784433960914612
0.044444444444444446,0.978494623655914,0.09640602022409439
0.044444444444444446,0.989247311827957,0.09077451378107071
0.8984126984126984,0.989247311827957,0.0031578331254422665
0.8984126984126984,1.0,0.0031445485074073076
1.0,1.0,0.0013631624169647694
