fpr,tpr,threshold
0.0,0.0,inf
0.0,0.024390243902439025,0.9999998807907104
0.0,0.04878048780487805,0.9999995231628418
0.0,0.0975609756097561,0.9999984502792358
0.0,0.14634146341463414,0.9999964237213135
0.0,0.3780487804878049,0.9999741315841675
0.0030581039755351682,0.3780487804878049,0.9999693632125854
0.0030581039755351682,0.5609756097560976,0.9999179840087891
0.0061162079510703364,0.5609756097560976,0.9999134540557861
0.0061162079510703364,0.8292682926829268,0.998927891254425
0.009174311926605505,0.8292682926829268,0.9988837838172913
0.009174311926605505,0.9024390243902439,0.9961974620819092
0.012232415902140673,0.9024390243902439,0.992220938205719
0.012232415902140673,0.9634146341463414,0.9694709181785583
0.01834862385321101,0.9634146341463414,0.9193731546401978
0.01834862385321101,0.975609756097561,0.8700534105300903
0.024464831804281346,0.975609756097561,0.8211124539375305
0.024464831804281346,0.9878048780487805,0.8093692660331726
0.027522935779816515,0.9878048780487805,0.7194340825080872
0.027522935779816515,1.0,0.6489958763122559
1.0,1.0,0.0001251232752110809
