fpr,tpr,threshold
0.0,0.0,inf
0.0030581039755351682,0.13414634146341464,1.0
0.0030581039755351682,0.2073170731707317,0.9999998807907104
0.0030581039755351682,0.23170731707317074,0.9999997615814209
0.0030581039755351682,0.24390243902439024,0.9999996423721313
0.0030581039755351682,0.3048780487804878,0.9999995231628418
0.0030581039755351682,0.35365853658536583,0.9999988079071045
0.0030581039755351682,0.3780487804878049,0.9999986886978149
0.0030581039755351682,0.4146341463414634,0.999997615814209
0.0030581039755351682,0.43902439024390244,0.9999972581863403
0.0030581039755351682,0.5121951219512195,0.9999899864196777
0.0061162079510703364,0.5121951219512195,0.9999897480010986
0.0061162079510703364,0.9878048780487805,0.9204351902008057
0.01529051987767584,0.9878048780487805,0.8676453828811646
0.01529051987767584,1.0,0.7753267884254456
1.0,1.0,1.4378747437149286e-06
